District Names,State/UT,predicted_stunting,priority_tier
Araria ,Bihar,48.74821398491621,High
Bijapur ,Chhattisgarh,48.65983868462,High
Sitapur ,Uttar Pradesh,47.92103813199887,High
Madhepura ,Bihar,47.824208913226165,High
Pashchimi Singhbhum ,Jharkhand,47.7992819215507,High
Purnia ,Bihar,46.91279980459714,High
Bahraich ,Uttar Pradesh,46.87503113245755,High
Sukma ,Chhattisgarh,46.868913707549844,High
Yadgir ,Karnataka,46.51910387228477,High
Narmada ,Gujarat,46.16924406529133,High
Fatehpur ,Uttar Pradesh,46.14733154058129,High
Nawada ,Bihar,46.09182350031622,High
Budaun ,Uttar Pradesh,45.989309062627164,High
Chhota Udaipur ,Gujarat,45.853117982493266,High
Sheikhpura ,Bihar,45.795294947811634,High
Saharsa ,Bihar,45.73985728023819,High
Pakur ,Jharkhand,45.608019274051976,High
Shrawasti ,Uttar Pradesh,45.58530325335203,High
Etah ,Uttar Pradesh,45.51692070989823,High
Sambhal ,Uttar Pradesh,45.496842342472064,High
Hardoi ,Uttar Pradesh,45.493860371645454,High
Farrukhabad ,Uttar Pradesh,45.468597059081574,High
Shahjahanpur ,Uttar Pradesh,45.42066020467279,High
Sahibganj ,Jharkhand,45.389524669080075,High
Banka ,Bihar,45.16070639328651,High
Malkangiri ,Odisha,45.069180553658754,High
Kheri ,Uttar Pradesh,45.04474647823449,High
Arwal ,Bihar,44.966032044530714,High
Chitrakoot ,Uttar Pradesh,44.9452186889935,High
Aravali ,Gujarat,44.87019068277771,High
Banda ,Uttar Pradesh,44.74085136939487,High
Bastar ,Chhattisgarh,44.693316572019654,High
Nabarangapur ,Odisha,44.66557470737925,High
West Khasi Hills ,Meghalaya,44.64415255826549,High
Gaya ,Bihar,44.63262426803396,High
Kishanganj ,Bihar,44.55709804172346,High
Jamui ,Bihar,44.518406105387406,High
South West Khasi Hills ,Meghalaya,44.486881347982106,High
Sheopur ,Madhya Pradesh,44.4642916824397,High
Sitamarhi ,Bihar,44.43930380596154,High
Supaul ,Bihar,44.297780982447314,High
Madhubani ,Bihar,44.10702615213931,High
Lalitpur ,Uttar Pradesh,44.05754068854876,High
Garhwa ,Jharkhand,43.94337536014332,High
Mahisagar ,Gujarat,43.93049759067907,High
Deoghar ,Jharkhand,43.80311379207964,High
Vaishali ,Bihar,43.8011923808879,High
Dohad ,Gujarat,43.78862921170778,High
Kannauj ,Uttar Pradesh,43.78512811972815,High
Nuapada ,Odisha,43.771845817368174,High
Nandurbar ,Maharastra,43.68708678620789,High
Kheda ,Gujarat,43.65063047516651,High
Gonda ,Uttar Pradesh,43.552678585298665,High
Patan ,Gujarat,43.519086020663465,High
Hamirpur ,Uttar Pradesh,43.48283351447148,High
Bundi ,Rajasthan,43.40334053408988,High
Lakhisarai ,Bihar,43.31215600840379,High
Balrampur ,Uttar Pradesh,43.268831714964065,High
Firozabad ,Uttar Pradesh,43.17484915589722,High
Dhaulpur ,Rajasthan,43.14482126775214,High
Samastipur ,Bihar,43.03779206362712,High
Jhabua ,Madhya Pradesh,43.035228062551994,High
Nalanda ,Bihar,43.0310946063201,High
Katihar ,Bihar,43.000127241904565,High
Bara Banki ,Uttar Pradesh,42.96049539946032,High
Rae Bareli ,Uttar Pradesh,42.9279072101577,High
Panch Mahals ,Gujarat,42.90092815672694,High
Dhubri ,Assam,42.78756536703158,High
Pashchim Champaran ,Bihar,42.78455941890017,High
Jehanabad ,Bihar,42.67783216533036,High
Darbhanga ,Bihar,42.63447351768017,High
Kanshiram Nagar ,Uttar Pradesh,42.52930323066972,High
Kaushambi ,Uttar Pradesh,42.28274746875432,High
Jamtara ,Jharkhand,42.27273601613294,High
Jogulamba Gadwal ,Telangana,42.2460339730753,High
Koraput ,Odisha,42.235629552834816,High
Palamu ,Jharkhand,42.23393297312563,High
Muzaffarpur ,Bihar,42.11278036363615,High
Saran ,Bihar,42.064827935306624,High
Aurangabad ,Bihar,42.051849522214525,High
Koppal ,Karnataka,42.04767105516242,High
Barwani ,Madhya Pradesh,42.036269639013696,High
Kaimur (Bhabua) ,Bihar,41.97753473658426,High
Bhagalpur ,Bihar,41.96905341198417,High
Bhojpur ,Bihar,41.89660431411065,High
Dumka ,Jharkhand,41.829390727011635,High
Banas Kantha ,Gujarat,41.741925116174414,High
Purba Champaran ,Bihar,41.65603744010805,High
Bareilly ,Uttar Pradesh,41.64693376658581,High
West Jaintia Hills ,Meghalaya,41.6197514651315,High
Chatra ,Jharkhand,41.599046724229346,High
Puruliya ,West Bengal,41.55399144242382,High
Siddharthnagar ,Uttar Pradesh,41.488785233623084,High
Darrang ,Assam,41.261002218477,High
Chhatarpur ,Madhya Pradesh,41.17077620117595,High
Banswara ,Rajasthan,41.1410362855667,High
Dantewada ,Chhattisgarh,41.11860636389456,High
Bharatpur ,Rajasthan,41.06862703213888,High
Baran ,Rajasthan,40.973415308392035,High
Latehar ,Jharkhand,40.9621353395157,High
Ribhoi ,Meghalaya,40.94411437189355,High
Adilabad ,Telangana,40.83864895860907,High
Tapi ,Gujarat,40.83314832563573,High
Satna ,Madhya Pradesh,40.82669137379739,High
